Feature ID	Taxon	Confidence
3e289b674b7765f68f9d6c0ea0e5d2b8	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia	0.9999872102608041
720b6fc1edaa3b2121deeda76ad51a92	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.9999997175043632
ddc629cef571a934c22fdab967a254e1	Bacteria	0.9315828197895281
039a8eeed1a26373150c115307f41e47	Bacteria	0.8701988288911827
74bbdb1042edf33188ca26b7f50b499a	Bacteria (environmental samples)	0.9891931947377258
8001234a89b5b10668ae339e0eff76e6	Bacteria	0.931910666286099
1ad43f2266b85d901d789d25cfd08e77	Bacteria	0.9999885538633134
02dd2165d09434dab27686f23f060319	Bacteria (environmental samples)	0.9989895043093995
3f25299c9ee65b089a8f2c7557ab0d31	Bacteria (environmental samples)	0.9512032731824133
c18d227b3baf380ea1a809fb3089683c	Bacteria	0.9999698055280062
690c09f0f2c92c057a1e299b7056edf4	Bacteria	0.9728208715213513
c036440ddbd2d40a305cb97b6214eff9	Bacteria (environmental samples)	0.9856037519722816
ef1fc347b445d035f227b74878104abd	Bacteria	0.9943634467955351
47b69660c8c634117388f3dd3daa558a	Bacteria	0.9963530872001748
8ee54eb4a9f1bce5d34ecdfb6e157da5	Bacteria (environmental samples)	0.9998965959720333
58f499e4d46187129ef6fa52e315cc25	Bacteria	0.7708349562392575
7f622f1f7c5567d486254efeaf797112	Bacteria (environmental samples)	0.9258291718190153
822cdee0ef5f340e6a0515bcbae94959	Bacteria (environmental samples)	0.9999932639339091
9d12bf1b32dc221f7836e20b3b1598eb	Bacteria	0.9699418698680347
a1da222c2c163e09bbda2eb43bdb2d09	Bacteria	0.8049822661074633
fe4d499faeb6ff1f584a345e81b2e903	Bacteria	0.9408377753631878
c082775b087a9bfcee1cd5ee1adf031b	Bacteria	0.9503390350557496
44ddb438c0eb689b3108584a0a7d8dc4	Bacteria	0.9982993574019827
47db5aeb7207af6b7c654637e27d6c45	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.9999999975752871
eb1ede259a4741aa8149bd050d6e217a	Bacteria (environmental samples)	0.9853385704705285
21e95f41a3c608b555e444e3f02f5263	Bacteria	0.9978948933964553
8d5c321b6b2b77bc6ae6f6b4c62feacf	Bacteria	0.999915707345004
2079ffc9fb2803d26eda4c243ad38f39	Bacteria (environmental samples)	0.8891428891088539
927108f082d34d3b9bd42657f90f1e58	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum (environmental samples)	0.9932645789227396
ae4e31d9385193d7428cdff83f55118f	Bacteria (environmental samples)	0.9984545743302874
